Date, Time (UTC), Azimuth (°), Elevation (°), Distance (km)
14/02/22,01:36,262.475031004,42.2597783799,44672381.8141
14/02/22,01:48,264.381810427,39.7738442775,44670984.909
14/02/22,02:00,266.202881253,37.2799098513,44669602.1444
14/02/22,02:12,267.953096209,34.7808039755,44668222.7203
14/02/22,02:24,269.647308053,32.2757991192,44666848.5395
14/02/22,02:36,271.292210596,29.7735392427,44665487.9278
14/02/22,02:48,272.899634715,27.2728889889,44664120.3132
14/02/22,03:00,274.478119946,24.7757587367,44662770.6921
14/02/22,03:12,276.035313437,22.2840044252,44661415.7491
14/02/22,03:24,277.578190972,19.7993760563,44660066.6384
14/02/22,03:36,279.113154792,17.3236340284,44658725.0145
14/02/22,03:48,280.648147644,14.8553732725,44657381.9588
14/02/22,04:00,282.184896831,12.4027029137,44656041.3424
14/02/22,04:12,283.730776897,9.96427307683,44654696.3552
14/02/22,04:24,285.291021869,7.54197832642,44653364.0496
14/02/22,04:36,286.870776409,5.13780983186,44652016.2165
14/02/22,04:48,288.475119018,2.75386645171,44650675.6091
14/02/22,05:00,290.109143197,0.392376362694,44649328.3168
14/02/22,05:12,291.777985618,-1.94427679147,44647981.865
14/02/22,05:24,293.489044985,-4.25644619161,44646628.976
14/02/22,05:36,295.243276777,-6.53545120152,44645271.4549
14/02/22,05:48,297.04824229,-8.78122994437,44643911.7161
14/02/22,06:00,298.909545645,-10.9905686919,44642545.9483
14/02/22,06:12,300.832861788,-13.1598689596,44641170.1184
14/02/22,06:24,302.82406128,-15.2853113631,44639792.2949
14/02/22,06:36,304.889057646,-17.3626522607,44638404.2008
14/02/22,06:48,307.036686527,-19.3899058686,44637006.4079
14/02/22,07:00,309.267479432,-21.3569127512,44635603.9109
14/02/22,07:12,311.590033459,-23.2608932893,44634184.7108
14/02/22,07:24,314.010087844,-25.096060069,44632762.8682
14/02/22,07:36,316.532960452,-26.8561417428,44631328.4789
14/02/22,07:48,319.163469559,-28.5344806439,44629880.2258
14/02/22,08:00,321.905540713,-30.1239537409,44628421.4033
14/02/22,08:12,324.762123203,-31.6171388583,44626948.1072
14/02/22,08:24,327.738546403,-33.0079756886,44625469.1833
14/02/22,08:36,330.826972969,-34.2849457609,44623973.4823
14/02/22,08:48,334.028880975,-35.4419029258,44622468.2118
14/02/22,09:00,337.339533408,-36.4709040424,44620943.4299
14/02/22,09:12,340.751712646,-37.3643585983,44619411.5247
14/02/22,09:24,344.255333467,-38.1151471541,44617861.0278
14/02/22,09:36,347.837549456,-38.7169228519,44616304.2
14/02/22,09:48,351.48768331,-39.1648066804,44614726.038
14/02/22,10:00,355.178754575,-39.4535012068,44613136.0884
14/02/22,10:12,358.895973328,-39.5809237905,44611528.4303
14/02/22,10:24,2.61905573889,-39.5458397338,44609911.1118
14/02/22,10:36,6.32733688135,-39.3485928516,44608279.6377
14/02/22,10:48,10.0008431186,-38.9910834624,44606629.7716
14/02/22,11:00,13.620896383,-38.4766779494,44604970.4458
14/02/22,11:12,17.1707270727,-37.8100707994,44603291.734
14/02/22,11:24,20.640356322,-36.9959515204,44601604.6387
14/02/22,11:36,24.0092822094,-36.0431002765,44599903.7552
14/02/22,11:48,27.2731781964,-34.9579126177,44598187.3329
14/02/22,12:00,30.4258551602,-33.7481808208,44596458.4835
14/02/22,12:12,33.4637523199,-32.4218656282,44594718.2976
14/02/22,12:24,36.3854479473,-30.9869876298,44592965.7907
14/02/22,12:36,39.1915425127,-29.4513959872,44591195.4663
14/02/22,12:48,41.8875253758,-27.820600906,44589413.2655
14/02/22,13:00,44.4698675195,-26.1060992442,44587630.2706
14/02/22,13:12,46.9464550291,-24.3127663404,44585826.2367
14/02/22,13:24,49.3223653969,-22.447080308,44584019.0587
14/02/22,13:36,51.6030736052,-20.5151310014,44582197.7015
14/02/22,13:48,53.7944093254,-18.5225359792,44580367.0172
14/02/22,14:00,55.9023748183,-16.4744677215,44578529.7899
14/02/22,14:12,57.9329400307,-14.3757545113,44576685.3406
14/02/22,14:24,59.8945930664,-12.2279930207,44574831.2022
14/02/22,14:36,61.7881746347,-10.040767601,44572969.1879
14/02/22,14:48,63.6220301058,-7.81506842299,44571104.1941
14/02/22,15:00,65.4017916601,-5.55431088155,44569229.8148
14/02/22,15:12,67.1329554295,-3.26164097847,44567354.2381
14/02/22,15:24,68.8208788436,-0.939959520748,44565475.1976
14/02/22,15:36,70.4707991223,1.408052348,44563589.4792
14/02/22,15:48,72.0899347587,3.78298989815,44561700.4899
14/02/22,16:00,73.6791969319,6.17641618141,44559814.0451
14/02/22,16:12,75.2457535821,8.58920834336,44557920.885
14/02/22,16:24,76.7946771023,11.0193259048,44556032.743
14/02/22,16:36,78.3311063424,13.4648415173,44554140.0404
14/02/22,16:48,79.8603126686,15.9238917648,44552252.4477
14/02/22,17:00,81.3877548384,18.394694785,44550365.3971
14/02/22,17:12,82.9191671715,20.8755060706,44548473.3743
14/02/22,17:24,84.4626564063,23.3678021283,44546598.0318
14/02/22,17:36,86.0208117909,25.8634265364,44544723.4116
14/02/22,17:48,87.6027772053,28.3638073151,44542843.8859
